"","Estimate","Std. Error","z value","Pr(>|z|)","Estimate","Std. Error","z value","Pr(>|z|)","Estimate","Std. Error","z value","Pr(>|z|)"
"absdiff2.ses",-0.117361115795254,0.0371011099159424,-3.16327775802802,0.00156003412198567,-0.206165013346786,0.0730143310321113,-2.82362394385447,0.00474840623272461,-0.213572547949504,0.0709586426807219,-3.00981726652344,0.00261404907621199
"mix.clump.1.1",0.10534236586462,0.102323752938854,1.029500608012,0.303244494215501,0.996987424222006,0.280641708230993,3.5525276357048,0.000381548937913958,0.41177976763455,0.230808185885619,1.784077830925,0.0744110190442191
"mix.clump.1.2",-0.0678768262579837,0.0962759887165317,-0.705023414070932,0.480795665282533,0.158571371860306,0.268193728726533,0.591256822496378,0.554348355078221,-0.203128547203839,0.207646268905562,-0.978243183826349,0.327954062965503
"mix.clump.2.2",0.220165408530943,0.0682702553438744,3.22490969781758,0.00126012409409141,0.883812994348284,0.16266892578979,5.4332011480201,5.53519512697904e-08,0.463564437793531,0.150746644102039,3.07512277009462,0.0021041591978901
"mix.clump.1.3",-0.321651341372307,0.213982352480654,-1.50316761005508,0.13279582766606,-1.76086259216677,1.01689659072889,-1.73160438162608,0.0833440255488517,-2.452465997953,0.10293509389471,-23.8253631988871,1.82371355108988e-125
"mix.clump.2.3",-0.367908336668382,0.22000309665977,-1.67228708256476,0.09446772560976,-1.99813310875764,0.688059874907073,-2.90401051075316,0.00368415791474254,-2.6075657640833,0.0683892914149903,-38.1282757889746,0
"mix.clump.3.3",0.652555664050008,0.0895530641192015,7.28680442671855,3.17393121559514e-13,0.123960006295882,0.336563177962464,0.368311254506002,0.712641161582409,0.873548805392506,0.209764580926292,4.16442471619867,3.12138597280019e-05
"mix.school.1.1",-0.445929588972747,0.166230745410754,-2.68259393213247,0.00730536330918347,-0.207864441620933,0.505478713025316,-0.411222938305064,0.680909069947166,-0.424931475225204,0.286542481663084,-1.48296152374655,0.138084633707699
"mix.school.1.2",-0.543908063470069,0.131214953430378,-4.14516828494448,3.39564238241614e-05,-1.13656990010204,0.403328288934189,-2.81797714488481,0.00483272497294756,-1.06143467492847,0.269069344658515,-3.9448368831298,7.98543174967485e-05
"mix.school.2.2",-0.304776077199663,0.0994344326176119,-3.06509595495677,0.0021760017170747,-0.981180826446144,0.33242748394491,-2.95156349529976,0.00316169533974931,-1.04089666159031,0.217941002404202,-4.77604787583672,1.78773847553401e-06
"nodematch.plbirth",0.74777144930306,0.0550373732310205,13.5866122491761,4.80826194662138e-42,1.42136553091567,0.11902764855497,11.9414736674333,7.19372218917312e-33,1.11356354218938,0.100630902012839,11.0658209348785,1.83772343698914e-28
